Data;Mensagem;Intenção;Confianca;Entidades;Resposta
2018-6-26 21:58:47;btc;aluguel_acoes;1;;["O aluguel de ações é possível através do Home Broker (opção BTC). O que você deseja saber sobre o aluguel de ações (BTC) na XP?"]
2018-6-26 21:59:02;como alugar;aluguel_acoes;0.9371263980865479;servicos : pacote, aluguel_acoes : como_alugar, ;["Você sabia que é possível alugar ações para realizar vendas a descoberto?  Mediante disponibilidade de papel a mercado, a XP aluga a ação (BTC), ficando o investidor vendido no ativo (com posição alugada ou \"short\"). A principal responsabilidade do cliente é checar se há papel para aluguel. Para tal, acesse o Home Broker e selecione a opção \"BTC\", insira o ticker do ativo e consulte a disponibilidade. As ações são transferidas do investidor doador para a carteira do investidor tomador, mediante pagamento de taxa de aluguel. O doador não terá nenhum tipo de risco. Porém não poderá usar a ação para cobrir lançamento de opções e nem utilizá-las como garantia de operações."]
2018-6-26 22:05:13;assinatura eletronica;recuperar_dados_acessos;1;tipo_doc : identificacão, dados_cadastro : assinatura, ;["Você deseja que envie sua assinatura provisória por e-mail agora?"]
2018-6-26 22:05:25;sim;agradecer;0.4970197081565857;positivo_negativo : sim, ;["A assinatura eletrônica será enviada para seu e-mail cadastrado.<br><br>A nova assinatura eletrônica é provisória e terá validade de apenas 2 horas. Assim que entrar em sua conta novamente, você precisará trocar sua nova assinatura eletrônica que deverá conter apenas números.<br><br>Importante: Certifique-se de que seu e-mail cadastrado esteja atualizado, para o recebimento da assinatura."]
2018-6-26 22:32:25;Tentei fazer uma TED para minha conta, mas não deu. Ela voltou dando erro STR DIVERGENCIA TITULARIDADE. o que pode ser?;nao_entendo;0.15686894953250885;operacoes_conta : ted, dados_cadastro : conta_bancaria, conta : cadastro, conta : conta_bancaria, positivo_negativo : nao, nota_corretagem : valor_incorreto, como_adquirir : como_classifica, ;[]
2018-6-26 22:35:57;Tentei fazer uma TED para minha conta, mas não deu. Ela voltou dando erro STR DIVERGENCIA TITULARIDADE. o que pode ser?;nao_entendo;0.15686894953250885;operacoes_conta : ted, dados_cadastro : conta_bancaria, conta : cadastro, conta : conta_bancaria, positivo_negativo : nao, nota_corretagem : valor_incorreto, como_adquirir : como_classifica, ;[]
2018-6-26 23:47:28;fundos imobiliarios;como_adquirir;0.6341586112976074;fundo_td : fundos, termos : fundos_imobiliarios, informacao_ir : ir_fundos_imobiliarios, ;["Você deseja mais informações a respeito de qual produto?"]
2018-6-26 23:47:37;fundos imobiliario;status;0.3204730451107025;fundo_td : fundos, termos : fundos_imobiliarios, ;["Desculpe, não consegui entender o produto no qual você esta com dúvida. Você poderia repetir?"]
2018-6-26 23:47:47;fundo imobiliario;como_adquirir;0.5825530886650085;fundo_td : fundos, termos : fundos_imobiliarios, como_adquirir : fundo_imobiliário, ;["Fundos Imobiliários (FIIs) são fundos de investimentos que podem investir em ativos imobiliários ou em títulos que tenham lastro imobiliário.  Listados na Bovespa, devem ser negociados por uma plataforma de integração com a bolsa. A mais utilizada é o Home Broker, que pode ser acessada no canto superior de sua página. Você também pode utilizar uma de nossas diversas plataformas com vários recursos clicando em Minha Conta > Ferramentas e Serviços > Assinatura de Ferramentas e Serviços.\nPara conhecer os fundos listados e suas características, <a href=\"http://www.bmfbovespa.com.br/pt_br/produtos/listados-a-vista-e-derivativos/renda-variavel/fundos-de-investimentos/fii/fiis-listados/\" target=\"_blank\">clique aqui</a>.<br><br>Para negociar este tipo de produto é necessário ter, no mínimo, Pefil de Investidor classificado como \"Moderado\". Para mais informações, acesse sua conta e clique no seu nome no canto direito da página, selecionando a opção Perfil do Investidor."]
2018-6-27 00:18:25;Tudo bem;saudacao;1;;["Olá! Como posso ajudá-lo?"]
2018-6-27 00:18:46;estou com uma dúvida sobre alugueis de ações;aluguel_acoes;0.6679095029830933;operacoes_pacotes : duvida, servicos : ações, termos : ação, como_adquirir : ações, ;["O aluguel de ações é possível através do Home Broker (opção BTC). O que você deseja saber sobre o aluguel de ações (BTC) na XP?"]
2018-6-27 00:19:16;eu entrei vendido em uma operação e agora quero regularizar a operação ;nao_entendo;0.9102399349212646;;["Desculpe, não conseguir entender o que você deseja saber sobre o aluguel de ações. Poderia repetir?"]
2018-6-27 00:19:39;comprei a mesma quantidade para tentar regularizar mais ainda estão com o valor negativo;nao_entendo;0.8867807984352112;status : aplicacao, dados_cadastro : email, servicos : pacote, aluguel_acoes : custo, positivo_negativo : nao, ;["As operações de aluguel possuem custos ao investidor que toma ações emprestadas no mercado. Este custo é composto pela taxa cobrada pela Bolsa (CBLC) para registro e liquidação das operações, e a taxa do aluguel da ação, que varia de acordo com a disponibilidade de cada papel no mercado: \nTaxa CBLC: 0,25% a.a. ou R,00 por liquidação realizada, prevalecendo o maior valor.\nTaxa aluguel: varia de acordo com a disponibilidade de cada papel no mercado, com um mínimo de R,00 por liquidação realizada. Esta taxa é um % ao ano, cobrado pró-rata de acordo com o período em que o investidor permanecer como tomador de determinada ação. \nO custo de um  BTC para o investidor tomador é de, no mínimo, R,00."]
2018-6-27 02:21:12;Bom dia...;saudacao;1;;["Olá! Como posso ajudá-lo?"]
2018-6-27 02:21:42;Como crio login e senha para uma conta real no MT5 ?;plataformas;0.8493353128433228;servicos : pacote, termos : cri, como_adquirir : renda_fixa, conta : cadastro, dados_cadastro : usuario, dados_cadastro : senha, conta : conta_bancaria, dados_cadastro : conta_bancaria, ;["Poderia me fornecer mais detalhes sobre qual plataforma deseja informações?"]
2018-6-27 02:22:00;MetaTrader 5;plataformas;0.9990677833557129;plataformas : metatrader, ;["O MetaTrader 5 é a plataforma de operações mais usada no mundo. Nela você consegue montar um layout de operações via gráfico, via book, via boletas ou até operar com robôs. A XP disponibiliza duas maneiras de usar o MT5: através de uma conta real de produção ou através de uma conta demo de simulação, para aqueles que desejam praticar ou então testar estratégias e robôs. A versão simulada (demo) e a versão real do MetaTrader 5 não possuem custos. Caso você não opere em até 90 dias a conta será desativada. Ao optar por reativar a conta, será cobrado o valor de R$ 5,90.     Para ativar o MetaTrader 5 Simulado, faça login no poral XP, acesse Ferramentas e Serviços > Assinaturas de ferramentas e serviços > MetaTrader 5 Simulado > Ativar. Para ativar o MetaTrader 5 Real, faça login no poral XP, acesse Ferramentas e Serviços > Assinaturas de ferramentas e serviços > MetaTrader 5 Real > Ativar. Você receberá um e-mail com login e senha (5 logins e senhas na versão Demo) e um tutorial para acessar a plataforma. Para fazer download o MetaTrader 5, faça login no portal XP e selecione \"\"MetaTrader 5\"\" na área de Download de plataformas em Ferramentas e Serviços.     Caso você precise reenviar a sua senha, vá até a área logada da página da XP e acesse Ferramentas e Serviços > Assinaturas de ferramentas e serviços > Metatrader 5/Metatrader > Clique no ícone ao lado da opção de desativar > Selecione a opção Reenvio de Senha."]
2018-6-27 02:23:03;Entendi;nao_entendo;0.37863123416900635;;["Desculpe, acho que ainda não consigo te ajudar neste questionamento. Para falar com um de nossos especialistas você pode nos enviar um formulário em <a href=\"https://www.xpi.com.br/atendimento\" target=\"_blank\">www.xpi.com.br/atendimento</a> (opção \"Enviar e-mail\"), ou então entrar em contato telefônico conosco, das 9h às 18h, através dos números 4003-3710 (Capitais e regiões metropolitanas) ou 0800-880-3710 (Demais localidades)."]
2018-6-27 02:23:14;e no XpPro ?;plataformas;0.9706111550331116;;["Poderia me fornecer mais detalhes sobre qual plataforma deseja informações?"]
2018-6-27 02:23:21;login XpPro;plataformas;0.943149745464325;dados_cadastro : usuario, conta : cadastro, ;["Poderia me fornecer mais detalhes sobre qual plataforma deseja informações?"]
2018-6-27 02:23:52;Login no XpPro64;plataformas;0.753239095211029;dados_cadastro : usuario, conta : cadastro, ;["Poderia me fornecer mais detalhes sobre qual plataforma deseja informações?"]
2018-6-27 02:24:18;como faço para utilizar a plataforma XPPro  ?;plataformas;0.9941442608833313;servicos : pacote, operacoes_pacotes : duvida, ;["Poderia me fornecer mais detalhes sobre qual plataforma deseja informações?"]
2018-6-27 02:24:37;Login plataforma xppro;plataformas;0.9991939663887024;dados_cadastro : usuario, conta : cadastro, ;["Poderia me fornecer mais detalhes sobre qual plataforma deseja informações?"]
2018-6-27 02:24:48;obrigado ;agradecer;1;;["Obrigado por acessar nosso Assistente Virtual! Se precisar, é só chamar!"]
2018-6-27 02:26:30;Erro 69;cancelamento;0.15444029867649078;nota_corretagem : valor_incorreto, ;["Desculpe, acho que ainda não consigo te ajudar neste questionamento. Para falar com um de nossos especialistas você pode nos enviar um formulário em <a href=\"https://www.xpi.com.br/atendimento\" target=\"_blank\">www.xpi.com.br/atendimento</a> (opção \"Enviar e-mail\"), ou então entrar em contato telefônico conosco, das 9h às 18h, através dos números 4003-3710 (Capitais e regiões metropolitanas) ou 0800-880-3710 (Demais localidades)."]
2018-6-27 02:27:12;Erro 69;cancelamento;0.15444029867649078;nota_corretagem : valor_incorreto, ;["Desculpe, não entendi sua pergunta. Já sou treinado para te auxiliar com dúvidas operacionais sobre: dados cadastrais, transferência de recursos, tesouro direto e custos operacionais. Para falar com um de nossos especialistas você pode nos enviar um formulário em <a href=\"https://www.xpi.com.br/atendimento \">www.xpi.com.br/atendimento</a> (opção \"Enviar e-mail\"), ou então entrar em contato telefônico conosco, das 9h às 18h, através dos números 4003-3710 (Capitais e regiões metropolitanas) ou 0800-880-3710 (Demais localidades)."]
2018-6-27 02:27:34;69;nao_entendo;0.12482135742902756;;["Desculpe, acho que ainda não consigo te ajudar neste questionamento. Para falar com um de nossos especialistas você pode nos enviar um formulário em <a href=\"https://www.xpi.com.br/atendimento\" target=\"_blank\">www.xpi.com.br/atendimento</a> (opção \"Enviar e-mail\"), ou então entrar em contato telefônico conosco, das 9h às 18h, através dos números 4003-3710 (Capitais e regiões metropolitanas) ou 0800-880-3710 (Demais localidades)."]
2018-6-27 02:28:36;-69;nao_entendo;0.12482135742902756;;["Desculpe, acho que ainda não consigo te ajudar neste questionamento. Para falar com um de nossos especialistas você pode nos enviar um formulário em <a href=\"https://www.xpi.com.br/atendimento\" target=\"_blank\">www.xpi.com.br/atendimento</a> (opção \"Enviar e-mail\"), ou então entrar em contato telefônico conosco, das 9h às 18h, através dos números 4003-3710 (Capitais e regiões metropolitanas) ou 0800-880-3710 (Demais localidades)."]
2018-6-27 07:19:34;troca de senha;recuperar_dados_acessos;0.7250552177429199;incluir-alterar : alterar, dados_cadastro : senha, ;["Deseja que envie a senha provisória por e-mail agora?"]
2018-6-27 07:19:41;não;habilitar;0.21053007245063782;positivo_negativo : nao, ;["Caso precise recuperar sua senha e queira fazer pelo site, clique em <a href=\"https://portal.xpi.com.br\" target=\"_blank\">Login</a>, preencha seu código de cliente e clique em OK. Certifique-se de que é o seu nome a aparecer na tela e clique no mesmo. Em seguida, clique em \"Esqueceu sua senha?\", preencha os campos solicitados e clique em \"ENVIAR\". Sua senha será enviada para seu e-mail.<br><a href=\"https://chatbot.xpi.com.br/XP-Investimentos/imagens/img-resp/3.png\" target=\"_blank\"><img src=\"https://chatbot.xpi.com.br/XP-Investimentos/imagens/img-resp/3.png\" width=\"240\"/></a><br>A nova senha é provisória e terá validade de apenas 2 horas. Assim que entrar em sua conta novamente, você precisará trocar sua nova senha que deverá conter apenas números.<br><br>Importante: Certifique-se de que seu e-mail cadastrado esteja atualizado."]
2018-6-27 08:00:16;Não consigo encontrar o histórico das minhas aplicações de renda fixa.;nao_entendo;0.9996760487556458;positivo_negativo : nao, fgc : so_renda_fixa, como_adquirir : renda_fixa, plataformas : renda_fixa, ;["Desculpe, acho que ainda não consigo te ajudar neste questionamento. Para falar com um de nossos especialistas você pode nos enviar um formulário em <a href=\"https://www.xpi.com.br/atendimento\" target=\"_blank\">www.xpi.com.br/atendimento</a> (opção \"Enviar e-mail\"), ou então entrar em contato telefônico conosco, das 9h às 18h, através dos números 4003-3710 (Capitais e regiões metropolitanas) ou 0800-880-3710 (Demais localidades)."]
2018-6-27 08:12:21;bom dia;saudacao;1;;["Olá! Como posso ajudá-lo?"]
2018-6-27 08:13:05;solicito que envie minhas notas de corretagem dos meses de maio e junho de 2018 .;informar_ir;0.930652916431427;informacao_ir : ir_acoes, termos : nota_corretagem, servicos : corretagem, operacoes_conta : excluir, dados_cadastro : email, conta : conta_conjunta, ;["Agora é possível gerar a nota de corretagem em dois modelos: No sinacor e no modelo XP, ambos saem em PDF.<br>Também é possível adquirir as notas de um período, basta selecione e clicar em ''enviar e-mail'', você receberá o PDF anexo.\nAcesse:<br>1. Entre no site www.xpi.com.br;<br>2. Insira seu login e senha;<br>3. Selecione “Minha conta” <br>4. Clique em “Notas de corretagem”<br><br><a href=\"https://portal.xpi.com.br/pages/voce-na-xp/guia-de-ir.aspx\" target=\"_blank\">Clique para acessar o guia</a>."]
2018-6-27 08:23:29;margem;garantia;0.4176988899707794;garantia : chamada_margem, ;["É a exigência da Bolsa de garantias para manutenção de operações alavancadas, que pode ser depositada em dinheiro, ativos ou valores. A Chamada de Margem ocorre todos os dias, baseada nas posições de fechamento do dia anterior. A lista de ativos aceitos da B3 está <a href=\"http://www.bmfbovespa.com.br/pt_br/servicos/clearing/clearing-bmfbovespa/administracao-de-riscos/garantias/garantias-aceitas/ [bmfbovespa.com.br]\">aqui</a>. Antes de realizar alguma operação, pesquise o valor necessário para cobertura."]
2018-6-27 08:28:46;operações alavancadas;habilitar;0.593273937702179;servicos : por ordem, termos : operacoes_alavancadas, ;["Qual operação gostaria de habilitar em sua conta?"]
2018-6-27 08:28:56;alavancada;nao_entendo;0.2271580696105957;;["Desculpe, não consegui entender qual operação você gostaria de habilitar. Pode me explicar com mais detalhes o que você precisa?"]
2018-6-27 08:33:10;derivativos;habilitar;0.27875757217407227;;["Desculpe, acho que ainda não consigo te ajudar neste questionamento. Para falar com um de nossos especialistas você pode nos enviar um formulário em <a href=\"https://www.xpi.com.br/atendimento\" target=\"_blank\">www.xpi.com.br/atendimento</a> (opção \"Enviar e-mail\"), ou então entrar em contato telefônico conosco, das 9h às 18h, através dos números 4003-3710 (Capitais e regiões metropolitanas) ou 0800-880-3710 (Demais localidades)."]
2018-6-27 08:38:47;Como funciona a corretagem na bolsa? ;como_funciona;0.9137580394744873;servicos : pacote, xp_mobile : como_funciona, operacoes_pacotes : duvida, servicos : corretagem, ;["Desculpe, acho que ainda não consigo te ajudar neste questionamento. Para falar com um de nossos especialistas você pode nos enviar um formulário em <a href=\"https://www.xpi.com.br/atendimento\" target=\"_blank\">www.xpi.com.br/atendimento</a> (opção \"Enviar e-mail\"), ou então entrar em contato telefônico conosco, das 9h às 18h, através dos números 4003-3710 (Capitais e regiões metropolitanas) ou 0800-880-3710 (Demais localidades)."]
2018-6-27 08:39:02;Corretagem;nota_corretagem;0.7268522381782532;servicos : corretagem, ;["","Suas operações em Renda Variável são detalhadas em sua Nota de Corretagem, que é gerada ao final do dia e enviada para o e-mail cadastrado. \nVocê também pode consultar o histórico de notas clicando em: Minha Conta > Ferramentas e Serviços > Notas de Corretagem. <br> Você tem mais alguma dúvida sobre Corretagem?"]
2018-6-27 08:39:20;Quais sao as taxas ;saber_valor;0.9674304723739624;termos : taxa_corretagem, nota_corretagem : taxa_corretagem, ;["","Suas operações em Renda Variável são detalhadas em sua Nota de Corretagem, que é gerada ao final do dia e enviada para o e-mail cadastrado. \nVocê também pode consultar o histórico de notas clicando em: Minha Conta > Ferramentas e Serviços > Notas de Corretagem. <br> Você tem mais alguma dúvida sobre Corretagem?"]
2018-6-27 08:39:51;Quais sao as taxas;saber_valor;0.9674304723739624;termos : taxa_corretagem, nota_corretagem : taxa_corretagem, ;["Qual taxa você gostaria de saber?"]
2018-6-27 08:39:58;Corretagem;nota_corretagem;0.7268522381782532;servicos : corretagem, ;["Os custos de corretagem da XP variam de acordo com o mercado (Bovespa, BM&F), operação (day trade, swing trade, termo) e emissor (cliente, assessor, mesa, risco).<br>Consulte a lista completa de custos operacionais em nosso site clicando <a href=\"https://investimentos.xpi.com.br/custos-operacionais/#\" target=\"_blank\">aqui</a><br><br>Importante lembrar que além dos custos de corretagem existe a cobrança de outros custos como emolumentos, taxa de liquidação, ISS, PIS e COFINS."]
2018-6-27 08:46:20;pacotes de corretagem;duvida_pacote;1;servicos : pacote, servicos : corretagem, ;["","Não compreendi o que você quer saber. Você pode repetir?"]
2018-6-27 08:49:24;Gostaria de saber qual o valor semestral do mes de julho que sera cobrado;saber_valor;0.998645544052124;aluguel_acoes : custo, ;["Qual taxa você gostaria de saber?"]
2018-6-27 09:05:49;Bom dia. Como posso confirmar minha posição na bolsa?;como_ver_posicao;0.8911197781562805;servicos : pacote, tipo_doc : comprovar, xp_mobile : ver_posicao, ;["Desculpe, não entendi sua pergunta. Já sou treinado para te auxiliar com dúvidas operacionais sobre: dados cadastrais, transferência de recursos, tesouro direto e custos operacionais. Para falar com um de nossos especialistas você pode nos enviar um formulário em <a href=\"https://www.xpi.com.br/atendimento \">www.xpi.com.br/atendimento</a> (opção \"Enviar e-mail\"), ou então entrar em contato telefônico conosco, das 9h às 18h, através dos números 4003-3710 (Capitais e regiões metropolitanas) ou 0800-880-3710 (Demais localidades)."]
2018-6-27 09:22:08;Olá, bom dia;saudacao;0.9991604089736938;;["Olá! Como posso ajudá-lo?"]
2018-6-27 09:22:40;não estou conseguindo enviar ordem ao webcharts;habilitar;0.9887410402297974;positivo_negativo : nao, plataformas : fundos_Investimento, ;["Qual operação gostaria de habilitar em sua conta?"]
2018-6-27 09:24:09;Account:'2349167' Exchange:'XBSP' is not authorized for user:'2349167' using Connection:'ITEV.'!';nao_entendo;0.512143611907959;dados_cadastro : usuario, ;["Desculpe, não consegui entender qual operação você gostaria de habilitar. Pode me explicar com mais detalhes o que você precisa?"]
2018-6-27 09:25:11;não estou conseguindo enviar ordens de compra/venda no webcharts;nao_entendo;0.5352670550346375;positivo_negativo : nao, status : aplicacao, ;["Desculpe, acho que ainda não consigo te ajudar neste questionamento. Para falar com um de nossos especialistas você pode nos enviar um formulário em <a href=\"https://www.xpi.com.br/atendimento\" target=\"_blank\">www.xpi.com.br/atendimento</a> (opção \"Enviar e-mail\"), ou então entrar em contato telefônico conosco, das 9h às 18h, através dos números 4003-3710 (Capitais e regiões metropolitanas) ou 0800-880-3710 (Demais localidades)."]
2018-6-27 09:35:52;oi! gostaria de saber se consigo visualizar a rentabilidade dos meus investimentos periodicamente (diário, semanal...) mesmo que sóconsiga retirar após vencimento;nao_entendo;0.7766156792640686;status : resgate, operacoes_conta : resgate, ;["Desculpe, não entendi sua pergunta. Já sou treinado para te auxiliar com dúvidas operacionais sobre: dados cadastrais, transferência de recursos, tesouro direto e custos operacionais. Para falar com um de nossos especialistas você pode nos enviar um formulário em <a href=\"https://www.xpi.com.br/atendimento \">www.xpi.com.br/atendimento</a> (opção \"Enviar e-mail\"), ou então entrar em contato telefônico conosco, das 9h às 18h, através dos números 4003-3710 (Capitais e regiões metropolitanas) ou 0800-880-3710 (Demais localidades)."]
2018-6-27 09:45:58;fiz uma retirada qual horário estará em conta?;depositar;0.6449964046478271;dados_cadastro : conta_bancaria, conta : cadastro, conta : conta_bancaria, ;["A transferência é feita via TED, com as seguintes informações:<br><br>\n \nBanco 102 – XP INVESTIMENTOS CCTVM S/A (ISPB 02.332.886)<Br>\nAgência: 0001<br>\nConta Corrente: seu código do cliente XP, login, utilizando o último número como dígito da conta.<br>\nExemplo: código de cliente XP: 123456. Conta Corrente: 12345-6.<br>\nBom lembrar que a transferência só é aceita se for feita entre contas pertencentes ao mesmo CPF/CNPJ.<Br> O que mais você deseja saber sobre depósitos?"]
